Nr notowania;Rok notowania;Pozycja;Tytuł;Artysta;Punkty
1;1982;1;I'll Find My Way Home;Jon & Vangelis;30
1;1982;2;O! Nie rób tyle hałasu;Maanam;29
1;1982;3;For Those About to Rock (We Salute You);AC/DC;28
1;1982;4;51;TSA;27
1;1982;5;Opanuj się;Perfect;26
1;1982;6;The Visitors (Crackin' Up);ABBA;25
1;1982;7;Flying Colours;Jethro Tull;24
1;1982;8;Pepe wróć;Perfect;23
1;1982;9;Teraz rób co chcesz;Budka Suflera;22
1;1982;10;Słodka jest noc;Kombi;21
1;1982;11;Freeze-Frame;The J. Geils Band;20
1;1982;12;Przed nami drzwi zamknięte;Kasa Chorych;19
1;1982;13;O jeden dreszcz;Lombard;18
1;1982;14;Layla;Derek & the Dominos;17
1;1982;15;Do or Die;The Human League;16
1;1982;16;How Long;Rod Stewart;15
1;1982;17;Asfaltowe łąki;Grupa ABC Andrzeja Nebeskiego;14
1;1982;18;'65 Love Affair;Paul Davis;13
1;1982;19;Edge of Seventeen;Stevie Nicks;12
1;1982;20;That Girl;Stevie Wonder;11
1;1982;21;Trouble;Lindsey Buckingham;10
1;1982;22;Droga pani z TV;Lombard;9
1;1982;23;400 Dragons;Adrian John Loveridge;8
1;1982;24;Z brzytwą na poziomki;Klan;7
1;1982;25;Don't Talk to Strangers;Rick Springfield;6
1;1982;26;Królowie życia;Kombi;5
1;1982;27;Angel of Death;Thin Lizzy;4
1;1982;28;Sweet Dreams;Air Supply;3
1;1982;29;I Remember (Death in the Afternoon);Ultravox;2
1;1982;30;Czy możemy sami żyć;Piotr Schulz & Alex Band;1
2;1982;1;O! Nie rób tyle hałasu;Maanam;30
2;1982;2;51;TSA;29
2;1982;3;I'll Find My Way Home;Jon & Vangelis;28
2;1982;4;For Those About to Rock (We Salute You);AC/DC;27
2;1982;5;Opanuj się;Perfect;26
2;1982;6;The Visitors (Crackin' Up);ABBA;25
2;1982;7;Ebony and Ivory;Paul McCartney & Stevie Wonder;24
2;1982;8;Flying Colours;Jethro Tull;23
2;1982;9;Słodka jest noc;Kombi;22
2;1982;10;I Love Rock'n Roll;Joan Jett & the Blackhearts;21
2;1982;11;Pepe wróć;Perfect;20
2;1982;12;Layla;Derek & the Dominos;19
2;1982;13;Do or Die;The Human League;18
2;1982;14;Przed nami drzwi zamknięte;Kasa Chorych;17
2;1982;15;Teraz rób co chcesz;Budka Suflera;16
2;1982;16;O jeden dreszcz;Lombard;15
2;1982;17;Edge of Seventeen;Stevie Nicks;14
2;1982;18;That Girl;Stevie Wonder;13
2;1982;19;Freeze-Frame;The J. Geils Band;12
2;1982;20;Asfaltowe łąki;Grupa ABC Andrzeja Nebeskiego;11
2;1982;21;Chariots of Fire;Vangelis;10
2;1982;22;Bez satysfakcji;Budka Suflera;9
2;1982;23;Angel of Death;Thin Lizzy;8
2;1982;24;400 Dragons;Adrian John Loveridge;7
2;1982;25;Lokomotywa z ogłoszenia;Perfect;6
2;1982;26;Kurza twarz;Cytrus;5
2;1982;27;Empty Garden;Elton John;4
2;1982;28;Rainbow Bridge;Greg Gee;3
2;1982;29;Golden Brown;The Stranglers;2
2;1982;30;Ballada o malarzu;Dżem;1
3;1982;1;51;TSA;30
3;1982;1;O! Nie rób tyle hałasu;Maanam;30
3;1982;3;I Love Rock'n Roll;Joan Jett & the Blackhearts;28
3;1982;4;For Those About to Rock (We Salute You);AC/DC;27
3;1982;5;Ebony and Ivory;Paul McCartney & Stevie Wonder;26
3;1982;6;I'll Find My Way Home;Jon & Vangelis;25
3;1982;7;Opanuj się;Perfect;24
3;1982;7;Pepe wróć;Perfect;24
3;1982;8;The Visitors (Crackin' Up);ABBA;23
3;1982;9;Bez satysfakcji;Budka Suflera;22
3;1982;10;Layla;Derek & the Dominos;21
3;1982;11;Przed nami drzwi zamknięte;Kasa Chorych;20
